domain,state,area_type,digital_access,github_repos,commits,hackathons,projects,learning_hours,offline_work,experience_years,courses_completed,freelance_projects
Creative Arts,Gujarat,Rural,Low,2,0,0,12,12,7,4,2,3
Creative Arts,Gujarat,Semi-Urban,Low,0,0,0,11,17,2,1,3,2
Creative Arts,Bihar,Semi-Urban,High,1,0,0,9,4,3,3,6,1
Business,Kerala,Urban,High,0,0,0,8,10,0,5,3,1
Skilled Trades,Tamil Nadu,Rural,Low,0,0,0,18,5,21,3,3,1
Business,Gujarat,Rural,Medium,0,0,3,9,8,2,6,4,1
Skilled Trades,Kerala,Semi-Urban,High,0,0,0,18,5,28,1,5,1
Social & Community Work,Tamil Nadu,Rural,Low,0,0,0,9,10,14,1,5,3
Creative Arts,Uttar Pradesh,Rural,High,1,0,0,11,9,3,0,5,3
Technology,Other,Urban,Medium,6,149,1,3,8,2,2,1,5
Data Science,Tamil Nadu,Urban,High,8,97,4,7,19,0,4,4,1
Skilled Trades,Other,Rural,Low,0,0,0,17,4,19,2,5,2
Data Science,Madhya Pradesh,Rural,High,3,84,2,2,12,0,3,2,5
Technology,Uttar Pradesh,Semi-Urban,Low,4,168,1,4,15,0,2,2,2
Data Science,Rajasthan,Urban,High,6,107,1,7,16,0,3,2,3
Creative Arts,Telangana,Urban,High,2,0,0,10,3,6,0,3,3
Skilled Trades,Rajasthan,Urban,High,0,0,0,15,2,23,2,4,4
Technology,Tamil Nadu,Urban,High,7,178,2,6,17,1,2,1,3
Skilled Trades,Bihar,Rural,Medium,0,0,0,7,7,12,2,5,2
Technology,Madhya Pradesh,Rural,Low,4,159,1,5,16,0,0,2,2
Creative Arts,Gujarat,Urban,High,0,0,0,12,15,11,4,2,1
Social & Community Work,Madhya Pradesh,Urban,High,0,0,0,8,10,20,3,2,5
Data Science,Bihar,Semi-Urban,High,2,88,1,5,22,0,6,1,1
Skilled Trades,Madhya Pradesh,Semi-Urban,High,0,0,0,11,6,16,1,2,5
Data Science,West Bengal,Urban,High,3,106,2,2,20,0,3,2,3
Social & Community Work,West Bengal,Semi-Urban,Low,0,0,0,12,7,18,1,4,1
Social & Community Work,Tamil Nadu,Semi-Urban,High,0,0,0,6,9,15,1,5,5
Data Science,Other,Semi-Urban,Medium,2,101,2,2,25,0,3,0,2
Business,Delhi,Semi-Urban,High,0,0,1,5,11,2,0,2,0
Data Science,Punjab,Rural,Low,3,87,4,4,17,0,2,2,3
Social & Community Work,Delhi,Urban,Medium,0,0,0,13,12,24,4,1,2
Technology,West Bengal,Semi-Urban,Medium,5,155,2,6,11,0,3,4,1
Skilled Trades,Delhi,Semi-Urban,High,0,0,0,16,6,15,0,2,2
Technology,Bihar,Semi-Urban,Low,11,133,1,4,18,1,3,6,3
Technology,Gujarat,Urban,High,10,129,4,5,23,2,2,3,3
Data Science,Other,Urban,Medium,3,104,4,8,27,0,0,1,3
Data Science,Telangana,Rural,Medium,5,103,4,7,14,0,2,1,5
Technology,Telangana,Urban,High,4,165,2,4,18,2,4,1,0
Technology,Uttar Pradesh,Semi-Urban,Medium,7,154,2,3,12,1,1,3,0
Skilled Trades,Gujarat,Urban,Medium,0,0,0,14,7,19,0,1,1
Creative Arts,Madhya Pradesh,Semi-Urban,Low,0,0,0,11,11,0,4,2,5
Business,Maharashtra,Semi-Urban,Medium,0,0,0,7,8,1,4,7,1
Social & Community Work,Tamil Nadu,Semi-Urban,Medium,0,0,0,14,9,14,4,3,3
Technology,Punjab,Urban,Medium,9,151,4,5,11,0,2,2,2
Data Science,Tamil Nadu,Urban,High,4,91,1,7,17,0,1,1,7
Social & Community Work,Maharashtra,Urban,High,0,0,0,11,8,18,4,1,2
Business,Bihar,Semi-Urban,Medium,0,0,1,10,7,3,0,0,1
Creative Arts,Telangana,Rural,Low,0,0,0,11,12,7,4,4,0
Skilled Trades,Bihar,Rural,Low,0,0,0,15,6,18,2,4,0
Skilled Trades,Kerala,Rural,Low,0,0,0,13,5,16,0,3,3
Technology,Karnataka,Urban,High,4,159,4,1,17,3,4,5,1
Data Science,Uttar Pradesh,Urban,Medium,9,105,1,2,28,0,3,6,3
Social & Community Work,Uttar Pradesh,Rural,High,0,0,0,12,5,17,1,5,3
Skilled Trades,Madhya Pradesh,Urban,High,0,0,0,14,1,25,4,4,2
Creative Arts,Odisha,Urban,High,2,0,0,12,20,7,3,1,2
Business,Gujarat,Rural,Low,0,0,1,10,8,2,3,3,1
Skilled Trades,Tamil Nadu,Urban,High,0,0,0,12,3,31,1,2,3
Data Science,Maharashtra,Urban,High,5,107,5,5,15,0,2,4,1
Technology,Karnataka,Semi-Urban,High,7,148,4,9,16,2,3,2,1
Data Science,Uttar Pradesh,Urban,High,6,94,1,8,18,0,1,3,2
Technology,Madhya Pradesh,Urban,High,6,153,1,6,8,0,0,3,1
Creative Arts,West Bengal,Rural,Medium,2,0,0,13,7,2,3,2,3
Creative Arts,Rajasthan,Semi-Urban,Medium,0,0,0,12,15,5,1,4,1
Data Science,Uttar Pradesh,Semi-Urban,Low,2,87,2,5,30,0,2,2,3
Data Science,Kerala,Urban,High,6,109,3,6,23,0,1,1,3
Creative Arts,Odisha,Semi-Urban,Low,0,0,0,13,15,6,0,2,1
Data Science,Uttar Pradesh,Rural,Low,4,109,5,4,15,0,0,2,3
Business,Madhya Pradesh,Urban,High,0,0,1,3,8,5,2,4,2
Creative Arts,Other,Rural,Low,1,0,0,9,15,5,4,3,1
Data Science,Maharashtra,Urban,High,10,82,4,3,15,0,1,5,2
Technology,Gujarat,Rural,Medium,10,162,1,1,12,0,4,3,2
Data Science,Maharashtra,Rural,Low,4,5000,6,0,0,0,4,0,1
Data Science,Other,Urban,High,10,106,6,4,20,0,2,7,6
Data Science,Madhya Pradesh,Rural,Medium,6,86,4,5,10,0,2,0,2
Creative Arts,West Bengal,Semi-Urban,High,0,0,0,12,8,4,4,2,1
Creative Arts,Gujarat,Rural,High,0,0,0,12,5,4,7,3,2
Data Science,Telangana,Urban,High,5,89,1,3,20,0,3,2,2
Technology,Punjab,Semi-Urban,Low,6,165,1,2,12,3,5,2,2
Skilled Trades,Karnataka,Urban,High,0,0,0,18,2,25,3,2,2
Data Science,Odisha,Semi-Urban,Medium,6,125,3,12,23,0,1,4,4
Social & Community Work,Punjab,Urban,High,0,0,0,4,9,11,4,3,3
Data Science,Uttar Pradesh,Semi-Urban,High,6,109,5,3,23,0,6,2,0
Social & Community Work,Delhi,Semi-Urban,Low,0,0,0,19,4,19,3,3,2
Skilled Trades,Gujarat,Semi-Urban,Medium,0,0,0,20,2,26,2,4,2
Social & Community Work,West Bengal,Semi-Urban,Low,0,0,0,12,7,14,6,5,2
Social & Community Work,Telangana,Rural,High,0,0,0,14,12,17,2,5,2
Business,Telangana,Semi-Urban,Medium,0,0,0,11,6,1,1,1,2
Social & Community Work,West Bengal,Semi-Urban,Medium,0,0,0,5,2,10,2,2,2
Technology,Odisha,Urban,High,5,148,3,11,17,1,4,2,1
Technology,Telangana,Semi-Urban,Medium,8,142,1,6,14,0,2,4,1
Technology,Bihar,Semi-Urban,Low,8,145,5,6,15,0,3,5,1
Technology,West Bengal,Rural,Low,3,167,1,9,16,3,2,2,2
Creative Arts,Telangana,Urban,High,0,0,0,20,13,4,5,3,0
Social & Community Work,Rajasthan,Semi-Urban,Medium,0,0,0,17,4,19,6,1,0
Business,Telangana,Rural,Low,0,0,2,9,10,1,2,3,2
Skilled Trades,Gujarat,Urban,High,0,0,0,13,4,15,5,2,0
Creative Arts,Punjab,Urban,High,2,0,0,10,14,4,2,3,3
Creative Arts,Madhya Pradesh,Urban,High,1,0,0,12,5,1,2,2,2
Data Science,Telangana,Rural,Low,4,102,3,8,13,0,3,3,0
Skilled Trades,Punjab,Urban,Medium,0,0,0,7,5,20,2,1,2
Business,Delhi,Rural,Medium,0,0,3,9,16,1,0,4,2
Social & Community Work,Bihar,Urban,High,0,0,0,15,9,13,2,2,1
Data Science,Rajasthan,Urban,High,3,93,1,7,15,0,0,5,2
Skilled Trades,Gujarat,Urban,High,0,0,0,21,4,22,4,2,1
Data Science,West Bengal,Urban,High,3,92,3,4,24,0,0,1,1
Creative Arts,Madhya Pradesh,Semi-Urban,Medium,1,0,0,7,14,5,2,7,1
Data Science,Madhya Pradesh,Urban,High,8,101,1,9,14,0,0,6,0
Data Science,Tamil Nadu,Rural,Low,5,94,3,9,22,0,1,6,1
Business,West Bengal,Urban,High,0,0,0,13,11,0,0,5,1
Skilled Trades,Other,Urban,Low,0,0,0,19,6,14,3,1,3
Data Science,Kerala,Rural,Low,4,99,2,9,30,0,0,9,0
Social & Community Work,Other,Rural,Medium,0,0,0,8,9,24,2,1,2
Social & Community Work,Maharashtra,Urban,High,0,0,0,14,9,10,0,3,6
Creative Arts,Odisha,Urban,High,2,0,0,7,4,4,2,2,2
Business,Bihar,Urban,High,0,0,0,6,7,2,0,2,2
Business,Gujarat,Urban,Low,0,0,0,3,13,0,3,1,3
Creative Arts,West Bengal,Rural,Medium,0,0,0,11,7,1,5,2,1
Creative Arts,Punjab,Rural,Low,0,0,0,7,13,7,2,1,0
Data Science,Uttar Pradesh,Urban,High,5,117,7,4,29,0,0,1,4
Technology,Delhi,Urban,High,7,149,4,1,8,0,2,3,0
Technology,Madhya Pradesh,Urban,High,10,146,2,4,19,2,0,6,3
Data Science,Maharashtra,Semi-Urban,Medium,8,118,1,9,16,0,5,2,3
Social & Community Work,Kerala,Semi-Urban,Medium,0,0,0,10,7,26,3,1,4
Creative Arts,West Bengal,Urban,High,2,0,0,4,11,8,3,3,0
Social & Community Work,Gujarat,Urban,High,0,0,0,16,5,15,5,4,5
Creative Arts,Gujarat,Semi-Urban,Medium,0,0,0,18,12,1,4,5,1
Data Science,Uttar Pradesh,Semi-Urban,Low,5,96,5,5,23,0,1,5,2
Data Science,Karnataka,Rural,Low,8,80,5,7,14,0,4,4,0
Technology,Rajasthan,Urban,High,13,147,0,3,24,0,8,1,2
Skilled Trades,Uttar Pradesh,Semi-Urban,High,0,0,0,9,3,18,2,7,2
Business,West Bengal,Urban,High,0,0,0,7,10,1,3,1,2
Social & Community Work,Gujarat,Urban,High,0,0,0,9,10,20,0,2,4
Skilled Trades,Other,Urban,High,0,0,0,16,5,24,1,3,2
Business,Kerala,Rural,Medium,0,0,1,5,12,3,3,6,0
Skilled Trades,Kerala,Rural,Low,0,0,0,9,4,17,2,9,5
Data Science,Maharashtra,Rural,Medium,2,91,3,6,26,0,0,1,2
Technology,Uttar Pradesh,Rural,Medium,5,136,1,2,18,0,0,4,2
Social & Community Work,Odisha,Urban,High,0,0,0,14,2,28,3,3,1
Skilled Trades,Tamil Nadu,Semi-Urban,Medium,0,0,0,18,7,24,5,3,2
Business,Tamil Nadu,Urban,High,0,0,1,2,9,1,2,2,2
Skilled Trades,Gujarat,Urban,High,0,0,0,14,2,22,0,2,2
Technology,Tamil Nadu,Semi-Urban,Medium,7,159,2,4,15,2,3,4,0
Skilled Trades,Tamil Nadu,Urban,Medium,0,0,0,17,5,17,2,4,0
Business,Bihar,Rural,High,0,0,0,11,10,0,2,3,3
Social & Community Work,Uttar Pradesh,Urban,High,0,0,0,15,8,19,0,5,0
Creative Arts,Tamil Nadu,Urban,High,0,0,0,17,12,2,3,3,2
Data Science,Kerala,Urban,High,5,109,3,6,19,0,7,5,2
Technology,Maharashtra,Rural,Low,12,152,0,2,17,0,1,3,0
Technology,Gujarat,Urban,High,4,123,3,4,17,0,2,3,2
Skilled Trades,Madhya Pradesh,Semi-Urban,High,0,0,0,9,3,25,4,1,1
Social & Community Work,Kerala,Semi-Urban,Medium,0,0,0,13,10,16,3,1,1
Social & Community Work,Madhya Pradesh,Urban,High,0,0,0,5,4,20,4,1,1
Technology,Kerala,Rural,Medium,12,154,1,5,17,2,4,3,0
Technology,Punjab,Urban,High,8,159,4,6,23,1,3,3,1
Technology,Gujarat,Urban,High,7,147,0,5,12,0,3,0,1
Data Science,Karnataka,Rural,Low,4,98,3,5,17,0,0,1,2
Data Science,Gujarat,Rural,Low,3,95,4,9,21,0,3,5,3
Skilled Trades,Punjab,Urban,High,0,0,0,19,6,25,0,2,3
Data Science,Kerala,Urban,Low,2,121,4,4,17,0,1,5,3
Skilled Trades,Karnataka,Rural,Low,0,0,0,12,2,20,3,1,4
Creative Arts,Maharashtra,Semi-Urban,High,1,0,0,15,8,6,2,4,2
Business,Karnataka,Urban,Medium,0,0,3,13,8,2,5,3,1
Skilled Trades,Delhi,Urban,High,0,0,0,18,6,21,3,3,5
Creative Arts,Kerala,Rural,Low,2,0,0,17,6,6,2,3,4
Creative Arts,Maharashtra,Rural,Low,1,0,0,15,18,6,3,4,3
Social & Community Work,West Bengal,Rural,Medium,0,0,0,17,7,16,4,2,2
Data Science,Delhi,Urban,High,4,109,1,4,16,0,0,2,0
Creative Arts,Telangana,Rural,Medium,0,0,0,16,12,3,2,4,3
Skilled Trades,West Bengal,Rural,Low,0,0,0,20,7,20,4,5,3
Technology,Tamil Nadu,Semi-Urban,High,6,147,2,5,15,0,3,2,1
Technology,Punjab,Urban,High,9,168,1,5,25,0,2,2,2
Skilled Trades,Odisha,Semi-Urban,High,0,0,0,10,3,23,2,1,0
Business,Tamil Nadu,Rural,Low,0,0,1,11,12,0,1,2,3
Creative Arts,Telangana,Urban,High,0,0,0,11,17,5,1,2,1
Skilled Trades,Kerala,Rural,Low,0,0,0,24,3,23,2,0,1
Creative Arts,Kerala,Semi-Urban,Medium,2,0,0,11,12,3,2,3,3
Social & Community Work,Rajasthan,Rural,Low,0,0,0,11,10,11,1,3,0
Skilled Trades,Punjab,Urban,High,0,0,0,14,7,16,1,1,2
Technology,Odisha,Urban,High,9,141,2,5,17,0,2,0,1
Data Science,Rajasthan,Semi-Urban,High,4,101,5,5,20,0,1,4,4
Skilled Trades,Tamil Nadu,Semi-Urban,Medium,0,0,0,16,4,21,5,2,2
Data Science,Rajasthan,Semi-Urban,High,6,86,1,6,19,0,4,1,4
Skilled Trades,Kerala,Urban,High,0,0,0,16,0,18,3,0,2
Data Science,Gujarat,Urban,High,5,111,3,6,17,0,1,1,3
Social & Community Work,West Bengal,Urban,High,0,0,0,4,7,19,1,3,0
Skilled Trades,Punjab,Urban,High,0,0,0,12,2,26,4,2,2
Business,Tamil Nadu,Semi-Urban,Low,0,0,0,7,8,2,3,1,1
Data Science,Odisha,Rural,Low,7,108,3,12,17,0,1,7,4
Technology,Kerala,Urban,High,8,142,1,5,17,2,1,1,1
Business,Telangana,Rural,Low,0,0,0,4,9,1,2,3,3
Business,Gujarat,Rural,Medium,0,0,1,7,7,4,3,2,3
Technology,West Bengal,Urban,Medium,7,158,5,7,24,1,3,0,3
Data Science,Rajasthan,Urban,High,7,103,4,7,21,0,1,4,1
Creative Arts,Kerala,Semi-Urban,Medium,0,0,0,10,15,4,3,0,0
Creative Arts,Delhi,Semi-Urban,Medium,0,0,0,8,9,6,0,3,1
Skilled Trades,Uttar Pradesh,Urban,High,0,0,0,16,1,25,1,6,1
Technology,Telangana,Semi-Urban,Medium,6,140,2,6,22,2,1,1,1
Business,Punjab,Rural,High,0,0,2,4,10,2,2,5,0
Technology,Telangana,Urban,Medium,14,158,4,4,11,0,0,3,1
Technology,Karnataka,Urban,High,7,154,1,7,6,1,3,3,0
Data Science,Madhya Pradesh,Urban,High,7,103,2,6,23,0,4,5,1
Technology,Other,Rural,Low,4,170,2,9,17,2,1,2,2
Data Science,Delhi,Semi-Urban,High,6,103,2,5,24,0,4,4,3
Technology,Delhi,Semi-Urban,Medium,7,140,4,3,15,1,3,3,1
Business,Rajasthan,Semi-Urban,Low,0,0,3,8,7,6,4,0,5
Data Science,Madhya Pradesh,Urban,High,7,119,3,6,19,0,6,4,4
Technology,Karnataka,Semi-Urban,Medium,4,150,4,8,14,1,5,3,2
Skilled Trades,Gujarat,Urban,Medium,0,0,0,19,3,21,2,8,1
Technology,Kerala,Semi-Urban,High,6,143,0,3,23,2,7,1,0
Creative Arts,Punjab,Urban,High,2,0,0,7,10,1,0,1,2
Technology,Other,Semi-Urban,Medium,10,149,2,7,16,0,7,3,2
Skilled Trades,Karnataka,Rural,Medium,0,0,0,18,5,17,3,2,4
Creative Arts,Odisha,Semi-Urban,Medium,1,0,0,8,18,8,2,2,0
Social & Community Work,Madhya Pradesh,Urban,High,0,0,0,12,5,11,5,2,1
Technology,West Bengal,Rural,Low,3,144,0,4,11,1,2,1,1
Skilled Trades,West Bengal,Urban,High,0,0,0,13,5,21,2,5,1
Business,Punjab,Urban,High,0,0,0,14,6,2,2,2,1
Data Science,Rajasthan,Rural,Low,7,100,4,4,24,0,4,2,2
Business,Telangana,Urban,Medium,0,0,1,5,11,3,4,4,3
Data Science,Madhya Pradesh,Urban,Medium,5,93,3,4,26,0,2,3,2
Data Science,Kerala,Rural,High,7,118,3,10,20,0,2,0,3
Creative Arts,Odisha,Semi-Urban,Medium,1,0,0,10,11,12,0,4,4
Business,Madhya Pradesh,Urban,Low,0,0,0,8,13,3,6,4,1
Technology,Kerala,Rural,Medium,5,145,1,4,1,2,1,1,0
Business,Maharashtra,Semi-Urban,Medium,0,0,1,5,8,2,0,4,0
Skilled Trades,Maharashtra,Semi-Urban,Medium,0,0,0,9,7,19,0,4,3
Skilled Trades,Uttar Pradesh,Semi-Urban,Medium,0,0,0,16,3,25,4,5,2
Data Science,Other,Semi-Urban,High,5,93,4,3,20,0,0,2,1
Skilled Trades,Karnataka,Rural,Low,0,0,0,19,4,16,3,1,0
Social & Community Work,Delhi,Rural,Medium,0,0,0,12,8,14,6,3,1
Technology,Gujarat,Rural,Low,9,121,3,2,14,1,4,4,2
Business,Karnataka,Rural,Low,0,0,2,5,11,2,1,2,2
Skilled Trades,Tamil Nadu,Rural,Low,0,0,0,16,3,24,0,7,2
Business,Bihar,Semi-Urban,Medium,0,0,2,5,4,2,2,2,2
Social & Community Work,Telangana,Urban,High,0,0,0,10,6,17,2,2,0
Business,Telangana,Rural,Low,0,0,0,5,15,4,4,2,2
Social & Community Work,Kerala,Semi-Urban,Medium,0,0,0,14,3,12,0,2,1
Data Science,Odisha,Rural,Low,5,100,6,2,12,0,3,1,1
Social & Community Work,Odisha,Urban,High,0,0,0,10,6,18,2,3,3
Creative Arts,Maharashtra,Urban,High,1,0,0,10,10,6,4,0,1
Technology,Uttar Pradesh,Rural,Low,9,138,0,4,17,1,5,2,0
Technology,Other,Rural,Medium,12,140,4,5,21,0,4,2,3
Data Science,Rajasthan,Urban,High,5,91,1,5,24,0,0,5,2
Data Science,Delhi,Urban,Low,2,85,3,3,12,0,3,5,0
Creative Arts,Tamil Nadu,Urban,Medium,0,0,0,18,11,6,2,5,0
Data Science,West Bengal,Rural,Low,5,99,2,5,19,0,2,3,4
Data Science,Gujarat,Urban,High,8,101,3,9,26,0,2,6,2
Business,Bihar,Rural,Low,0,0,1,12,7,2,0,4,0
Creative Arts,Tamil Nadu,Rural,Low,2,0,0,19,17,7,6,1,0
Technology,Bihar,Rural,Low,7,131,6,11,16,2,2,5,1
Creative Arts,Other,Rural,Low,2,0,0,10,11,5,1,3,2
Social & Community Work,Gujarat,Rural,Low,0,0,0,15,11,18,4,6,3
Technology,Other,Urban,Medium,11,143,3,5,18,0,4,4,3
Social & Community Work,Madhya Pradesh,Urban,High,0,0,0,9,11,13,4,1,3
Business,Odisha,Rural,Low,0,0,1,9,10,2,4,3,1
Technology,Tamil Nadu,Rural,High,6,163,2,4,5,2,3,4,2
Creative Arts,Punjab,Urban,High,1,0,0,9,11,7,1,2,3
Creative Arts,Tamil Nadu,Rural,High,0,0,0,12,6,7,4,2,2
Skilled Trades,Madhya Pradesh,Semi-Urban,Medium,0,0,0,13,3,18,3,1,3
Creative Arts,Punjab,Rural,Low,0,0,0,16,9,6,3,2,1
Business,Punjab,Rural,Low,0,0,1,7,7,3,0,1,2
Social & Community Work,Kerala,Urban,High,0,0,0,12,14,18,4,5,4
Data Science,Maharashtra,Semi-Urban,Medium,3,104,3,5,13,0,1,3,2
Data Science,Odisha,Urban,Medium,6,89,4,7,16,0,0,6,1
Creative Arts,Rajasthan,Rural,Medium,0,0,0,13,10,3,5,5,4
Social & Community Work,Uttar Pradesh,Rural,High,0,0,0,13,8,21,4,4,1
Creative Arts,Maharashtra,Rural,Low,0,0,0,18,6,5,3,3,1
Social & Community Work,Karnataka,Urban,High,0,0,0,11,9,14,3,1,2
Technology,Tamil Nadu,Urban,High,7,160,4,5,14,0,3,4,1
Skilled Trades,Other,Urban,High,0,0,0,16,7,24,3,4,2
Skilled Trades,Madhya Pradesh,Semi-Urban,Medium,0,0,0,18,8,24,4,5,2
Creative Arts,Odisha,Semi-Urban,Low,1,0,0,12,15,1,0,3,2
Data Science,Other,Urban,High,0,90,6,8,16,0,1,0,2
Creative Arts,Madhya Pradesh,Urban,High,0,0,0,9,7,5,4,3,1
Creative Arts,Other,Urban,High,3,0,0,18,8,4,1,1,1
Business,Uttar Pradesh,Urban,High,0,0,2,8,14,5,2,4,1
Skilled Trades,Uttar Pradesh,Semi-Urban,Medium,0,0,0,13,6,16,3,2,2
Skilled Trades,Gujarat,Rural,Medium,0,0,0,5,4,20,6,4,2
Skilled Trades,Rajasthan,Urban,High,0,0,0,12,5,14,0,2,3
Social & Community Work,Tamil Nadu,Urban,High,0,0,0,9,4,24,2,2,1
Technology,Odisha,Urban,Medium,10,181,1,4,10,1,5,1,2
Business,Madhya Pradesh,Rural,High,0,0,1,8,7,2,1,3,0
Business,Karnataka,Semi-Urban,Medium,0,0,1,9,9,0,8,2,4
Skilled Trades,Rajasthan,Urban,Medium,0,0,0,19,5,30,1,2,1
Creative Arts,Rajasthan,Urban,High,1,0,0,13,14,4,0,3,1
Technology,West Bengal,Rural,Low,11,146,3,7,19,1,4,2,3
Technology,Other,Rural,Low,8,152,4,6,15,0,6,5,4
Technology,Delhi,Rural,Low,7,140,0,1,23,2,1,1,2
Data Science,Punjab,Rural,Low,2,99,4,6,6,0,1,0,2
Social & Community Work,Delhi,Urban,High,0,0,0,7,9,22,1,5,0
Skilled Trades,Karnataka,Urban,High,0,0,0,17,4,24,0,0,3
Creative Arts,Uttar Pradesh,Urban,High,0,0,0,15,3,4,4,4,3
Business,Gujarat,Semi-Urban,Medium,0,0,2,9,12,0,6,4,3
Technology,West Bengal,Rural,Medium,5,168,3,5,25,0,1,3,2
Data Science,Kerala,Urban,High,3,92,4,9,23,0,0,1,3
Creative Arts,Punjab,Rural,Medium,2,0,0,10,14,6,2,5,2
Business,Kerala,Rural,Medium,0,0,1,10,11,1,3,4,3
Data Science,Kerala,Rural,Low,8,109,4,4,18,0,3,2,2
Business,Gujarat,Rural,Low,0,0,0,12,7,1,4,4,1
Creative Arts,Gujarat,Urban,High,2,0,0,15,11,4,5,0,2
Data Science,Other,Urban,High,5,96,3,6,20,0,5,3,0
Creative Arts,Punjab,Urban,High,3,0,0,7,16,6,0,1,3
Skilled Trades,Delhi,Urban,High,0,0,0,11,6,21,4,3,1
Data Science,Kerala,Rural,Low,7,106,0,2,15,0,1,1,3
Technology,Other,Rural,Low,14,153,2,5,14,1,0,6,4
Social & Community Work,Punjab,Semi-Urban,High,0,0,0,6,8,15,1,3,3
Data Science,Odisha,Semi-Urban,Low,8,84,6,8,23,0,0,2,2
Technology,Delhi,Rural,Medium,11,168,2,2,16,0,4,2,0
Data Science,Tamil Nadu,Urban,High,5,101,2,7,23,0,3,6,1
Technology,Rajasthan,Semi-Urban,Medium,10,146,2,5,22,0,0,4,0
Technology,Rajasthan,Semi-Urban,Medium,8,149,1,6,5,0,5,3,1
Data Science,Maharashtra,Semi-Urban,High,8,101,2,5,18,0,1,2,1
Business,Uttar Pradesh,Semi-Urban,High,0,0,1,11,9,2,4,4,3
Social & Community Work,Uttar Pradesh,Rural,Medium,0,0,0,8,9,13,4,4,2
Social & Community Work,Tamil Nadu,Semi-Urban,Medium,0,0,0,11,7,12,2,4,3
Creative Arts,Rajasthan,Rural,Medium,2,0,0,7,11,10,2,2,0
Business,Kerala,Semi-Urban,Medium,0,0,1,7,11,5,2,6,4
Technology,Rajasthan,Urban,High,6,160,4,5,16,0,2,4,1
Technology,Other,Semi-Urban,Low,9,128,2,7,16,0,0,2,2
Data Science,Punjab,Semi-Urban,Medium,7,92,3,8,18,0,3,4,2
Creative Arts,Delhi,Rural,Low,0,0,0,15,12,3,1,2,2
Skilled Trades,Other,Semi-Urban,Low,0,0,0,19,4,21,1,2,1
Data Science,Madhya Pradesh,Semi-Urban,Medium,7,94,2,6,23,0,5,8,1
Creative Arts,Punjab,Semi-Urban,High,1,0,0,9,2,6,4,1,3
Skilled Trades,Rajasthan,Semi-Urban,Medium,0,0,0,21,7,20,0,2,0
Data Science,Tamil Nadu,Rural,Low,2,97,5,6,26,0,8,6,3
Business,Other,Rural,Low,0,0,0,5,14,0,2,1,3
Social & Community Work,Delhi,Semi-Urban,Medium,0,0,0,10,12,18,5,5,1
Business,Rajasthan,Urban,High,0,0,1,7,9,1,4,6,5
Skilled Trades,Rajasthan,Rural,High,0,0,0,11,7,14,4,0,1
Social & Community Work,Bihar,Urban,High,0,0,0,5,6,18,0,6,1
Data Science,Punjab,Urban,High,6,107,1,4,18,0,5,2,2
Creative Arts,Madhya Pradesh,Semi-Urban,Medium,2,0,0,12,1,4,1,7,1
Skilled Trades,Gujarat,Urban,High,0,0,0,14,4,16,3,1,0
Skilled Trades,Bihar,Urban,High,0,0,0,11,3,22,1,2,0
Skilled Trades,Delhi,Urban,Low,0,0,0,13,4,21,6,4,2
Business,Bihar,Urban,High,0,0,1,15,10,2,0,1,3
Skilled Trades,Other,Rural,Low,0,0,0,13,6,19,0,1,1
Skilled Trades,Delhi,Semi-Urban,High,0,0,0,25,4,18,1,1,1
Social & Community Work,Maharashtra,Rural,Low,0,0,0,6,10,20,0,5,2
Data Science,Gujarat,Urban,Medium,4,89,3,6,16,0,6,2,3
Business,Maharashtra,Semi-Urban,Medium,0,0,0,2,13,2,7,7,2
Skilled Trades,Maharashtra,Semi-Urban,Medium,0,0,0,12,4,22,0,6,0
Business,Madhya Pradesh,Rural,Medium,0,0,0,6,9,2,3,1,2
Business,West Bengal,Rural,Low,0,0,0,10,14,1,4,5,1
Creative Arts,Punjab,Semi-Urban,High,0,0,0,7,10,6,4,5,2
Creative Arts,Rajasthan,Semi-Urban,Low,2,0,0,13,16,9,0,2,2
Data Science,Gujarat,Semi-Urban,High,3,84,3,6,25,0,2,2,1
Creative Arts,Karnataka,Semi-Urban,Medium,1,0,0,14,11,12,4,5,2
Business,Delhi,Urban,High,0,0,0,15,5,3,6,3,2
Social & Community Work,West Bengal,Rural,High,0,0,0,5,10,22,1,3,2
Skilled Trades,Punjab,Urban,Low,0,0,0,8,3,24,0,2,1
Skilled Trades,Maharashtra,Rural,Low,0,0,0,21,2,26,7,4,1
Data Science,West Bengal,Rural,Low,3,104,3,10,33,0,0,3,1
Data Science,Punjab,Semi-Urban,High,7,117,2,7,17,0,1,4,3
Social & Community Work,Tamil Nadu,Rural,Low,0,0,0,9,8,13,0,4,2
Technology,Other,Urban,High,4,149,1,3,24,2,4,2,2
Creative Arts,Uttar Pradesh,Semi-Urban,High,3,0,0,8,9,2,3,3,6
Technology,Rajasthan,Urban,Medium,18,148,3,5,13,0,7,3,2
Skilled Trades,Punjab,Rural,Low,0,0,0,13,3,22,4,2,1
Business,Punjab,Urban,High,0,0,1,9,12,1,0,2,1
Social & Community Work,Tamil Nadu,Rural,Medium,0,0,0,12,7,12,3,5,2
Technology,Punjab,Semi-Urban,Medium,11,152,3,6,10,2,5,3,5
Technology,Delhi,Urban,High,8,161,2,8,15,0,4,2,2
Business,Telangana,Semi-Urban,Low,0,0,0,9,15,1,3,2,3
